081044唯一合格男   07 999999904    221202210851211915000100035    2 10001048010201011                                                                                                                                                                    0299010104080101010101080808080203  000010  01020200020201990144070202906999104649999999999999999999999999999990599999999010101
081078最年輕的男    2 999999904    221202213719215113000100047    2 10001094010403041                                                                                                                                                                    0104010303020202020303060605050303  070808  02010205049799080185060202214999999179999999999999999999999059999999999999999020101
081092唯一合格男   06 999999904    221202211523212345000111252019 1 20000040010201012                                                                                                                                                                    0102010204010202010303080605080103  060808  01020200040202990161060202106999999679999999999999999999999999999999999993699010101
081108唯一合格男  042 999999904    221204134403135253000100140    1 10001420010201011                                                                                                                                                                    0103010401040403030303020301020402  090808  02020203060699080163040101602999999669999999999999999999999999999999999109999010101
081119唯一合格男   06 999999904    221202211900212812000100163    1 10001180010301012                                                                                                                                                                    0102020495990404040404000000000404  060805  04030305030799080338050202104999999679999999999999999999999999999999999991599010101
081125唯一合格男    2 999999904    221202212022212932000100214    2 10000372010301012                                                                                                                                                                    0101020401040303030204050503040302  050808  02010102050102990153060201106999999659999999999999999999999999999999926999999010101
081142唯一合格女   05 999999904    221206184148185429000100153    2 10000511010201011                                                                                                                                                                    0101010201040302030302080604080303  080708  01030200060799080165050202901501999099999999999189999999999999999999999999999010201
081149最年輕的女    2 999999904    221202212515213439000100124    2 10000692010301031                                                                                                                                                                    0103010204010203020202070809080202  080906  02030203040202990188060202602999999659999999999999999999999999999999905999999010201
081162唯一合格男   06 999999904    221204190327191615000100163    1 10001180010201011                                                                                                                                                                    0101010301080403030404040403030403  030406  02030205030699080250050202211999999169999999999999999999901999999999999999999010102
081182唯一合格女   04 999999904    221207210503211454000100153    2 10000511010302011                                                                                                                                                                    0102019804089898020303050501020303  070805  04030200050799080170050202401999999079999990199999999999999999999999999999999020201
081194唯一合格女   05 999999904    221202213014214219000100214    2 10000372010100011                                                                                                                                                                    0299010298990198989898989898980298  989898  98039898989899040131010202906999401099999999999129999999999999999999999999999020202
081208最年長的男   03 999999904    221202213143215229000100049    2 10002384010502012                                                                                                                                                                    0101019611089898989897050502059797  050805  97989802060102990257040101105999999049907999999999999999999999999999999999999010101
081240最年輕的女   05 999999904    221202213507214923000110256033 2 20000040010301031                                                                                                                                                                    0101010204020202020202101010100202  050510  03020200050201990158020202901106999109999999999990799999999999999999999999999010201
081247最年長的女   03 999999904    221204134842135939000100049    2 10002384010200012                                                                                                                                                                    0101010303010403020303050506050303  080806  04030304043802990162060102302999999689999999999999999999999999999999999999902010201
081258唯一合格女   06 999999904    221204190039191111000108207243 2 10000118010201011                                                                                                                                                                    0103010202049802010202080808080196  070708  02030298050202990178069898904105999669999999999999999999999999999999999179999020201
081264唯一合格女   03 999999904    221204130550131356000100183    2 10000794010201011                                                                                                                                                                    0101010302040403030303060604040304  040705  03030207050799080158050202302999999059999059999999999999999999999999999999999010201
